Title,Authors,Keyword,Year,Database,Approach,Results,UkBiobank usage,Focus,Citation Number
The mediating role of inflammation in cancer risk among individuals with metabolic dysfunction-associated steatotic liver disease: a cohort study,Bu et al.,Biliary tract cancer,2025,PubMed,Pathology Incidence Analysis,"pICC,pBDC",Main Study,Generic,0
"Causal effects of smoking, alcohol consumption, and coffee intake on hepatobiliary and pancreatic diseases: A Mendelian randomization study",Zhao et al.,Biliary tract cancer,2024,PubMed,Modifiable Risk Factor Analysis,"pICC,pBDC",Main Study,Half,0
Long‐term risk of venous thromboembolism among patients with gastrointestinal non‐neoplastic and neoplastic diseases: A prospective cohort study of 484 211 individuals,Yuan et al.,Biliary tract cancer,2024,PubMed,Pathology Incidence Analysis,pBDC,Main Study,Half,9
Association of glucose-lowering drug target and risk of gastrointestinal cancer: a mendelian randomization study,Yang et al.,Cholangiocarcinoma,2024,PubMed,Genomic Analysis,pICC,Main Study,Generic,17
Causal association of nonalcoholic fatty liver disease with 22 extrahepatic cancers: A Mendelian randomization study,Xie et al.,bile duct cancer,2024,Scopus,Pathology Incidence Analysis,N.A.,Validation Study,Generic,6
Saturation genome editing of BAP1 functionally classifies somatic and germline variants,Waters et al.,bile duct cancer,2024,Scopus,Genomic Analysis,N.A.,Validation Study,Generic,48
Causal effect of thyroid cancer on secondary primary malignancies: findings from the UK Biobank and FinnGen cohorts,Wang et al.,bile duct cancer,2024,Scopus,Pathology Incidence Analysis,N.A.,Main Study,Generic,2
"Associations between eosinophils and cancer risk in the <span style=""font-variant:small-caps;"">UK</span> Biobank",Wang et al.,bile duct cancer,2024,PubMed,Genomic Analysis,pBDC,Main Study,Generic,8
"Investigating causal links between gallstones, cholecystectomy, and 33 site-specific cancers: a Mendelian randomization post-meta-analysis study",Teng et al.,cholangiocarcinoma,2024,Scopus,Pathology Incidence Analysis,"nsICC,nsBDC",Main Study,Generic,3
Appraising associations between signature lipidomic biomarkers and digestive system cancer risk: novel evidences from a prospective cohort study of UK Biobank and Mendelian randomization analyses,Sun et al.,biliary tract cancer,2024,PubMed,Genomic Analysis,nsICC,Main Study,Generic,9
Greenspace and risk of obesity-related cancer in the UK Biobank cohort: An analysis of private residential gardens and other greenspace types,Odebeatu et al.,biliary tract cancer,2024,Scopus,Modifiable Risk Factor Analysis,nsICC,Main Study,Generic,12
Association between multiple sclerosis and cancer risk: A two-sample Mendelian randomization study,Liu et al.,blie duct cancer,2024,Scopus,Pathology Incidence Analysis,nsICC,Main Study,Generic,7
A Study on the Causal Relationships Between Blood Protein Ratios and Hepatobiliary Cancers Based on Mendelian Randomization Models,Jiang et al.,biliary tract cancer,2024,Scopus,Genomic Analysis,"pBDC,nICC,pICC",Main Study,Specific,0
Multisystem health comorbidity networks of metabolic dysfunction-associated steatotic liver disease,Jiang et al.,bile duct cancer,2024,Scopus,Pathology Incidence Analysis,pBDC,Main Study,Half,24
Can NPC1L1 inhibitors reduce the risk of biliary tract cancer? Evidence from a mendelian randomization study,Dong et al.,biliary tract cancer,2024,PubMed,Genomic Analysis,nBDC,Main Study,Specific,2
Risk of incident cardiovascular disease among patients with gastrointestinal disorder: a prospective cohort study of 330 751 individuals,Chen et al.,biliary tract cancer,2024,Scopus,Pathology Incidence Analysis,pICC,Main Study,Generic,19
The Association between the Substitution of Red Meat with Legumes and the Risk of Primary Liver Cancer in the UK Biobank: A Cohort Study,Bock et al.,bile duct cancer,2024,Scopus,Modifiable Risk Factor Analysis,"nsICC,nsBDC",Main Study,Specific,3
"Global fertility in 204 countries and territories, 1950–2021, with forecasts to 2100: a comprehensive demographic analysis for the Global Burden of Disease Study 2021",Battacharjee et al.,biliary tract cancer,2024,PubMed,N.A.,N.A.,Unrelated,Unrelated,365
Molecular profiling of biliary tract cancers reveals distinct genomic landscapes between circulating and tissue tumor DNA,Astier et al.,cholangiocarcinoma,2024,PubMed,Genomic Analysis,"pICC,pBDC",Main Study,Specific,18
Differing genetic variants associated with liver fat and their contrasting relationships with cardiovascular diseases and cancer,Ahmed et al.,bile duct cancer,2024,PubMed,Pathology Incidence Analysis,pBDC,Main Study,Generic,49
"Processed meat, red meat, white meat, and digestive tract cancers: A two-sample Mendelian randomization study",Yun et al.,biliary trat cancer,2023,PubMed,Modifiable Risk Factor Analysis,"nsICC,nsBDC",Main Study,Generic,23
Morning chronotype and digestive tract cancers: Mendelian randomization study,Yuan et al.,biliary tract cancer,2023,PubMed,Genomic Analysis,"nsICC,nsBDC",Main Study,Generic,62
"The causal relationship between metabolic factors, drinking, smoking and intrahepatic cholangiocarcinoma: a Mendelian randomization study",Qin et al.,cholangiocarcinoma,2023,PubMed,Genomic Analysis,nsICC,Main Study,Specific,14
Assessing the role of lipid-lowering therapy on multi-cancer prevention: A mendelian randomization study,Min et al.,bile duct cancer,2023,PubMed,Genomic Analysis,"nICC,nBDC",Main Study,Generic,9
Association of gut microbiome and primary liver cancer: A two‐sample Mendelian randomization and case–control study,Ma et al.,cholangiocarcinoma,2023,PubMed,Genomic Analysis,nICC,Main Study,Specific,108
Causal effect of adiposity on the risk of 19 gastrointestinal diseases: a Mendelian randomization study,Kim et al.,biliary tract cancer,2023,PubMed,Modifiable Risk Factor Analysis,pICC,Main Study,Generic,2
Confounded association between proton pump inhibitor use and risk of biliary tract cancer: Result from three cohorts,He et al.,bile duct cancer,2023,PubMed,Genomic Analysis,"nsICC,nsBDC",Main Study,Specific,1
Genetic associations of leisure sedentary behaviors and the risk of 15 site‐specific cancers: A Mendelian randomization study,Chen et al.,bile duct cancer,2023,Scopus,Modifiable Risk Factor Analysis,nsICC,Main Study,Generic,8
Association of Pathogenic Variants in Hereditary Cancer Genes With Multiple Diseases,Zeng et al.,bile duct cancer,2022,PubMed,N.A.,N.A.,Unrelated,Unrelated,46
A rare genetic variant in the manganese transporter SLC30A10 and elevated liver enzymes in the general population,Seidelin et al.,cholangiocarcinoma,2022,PubMed,Genomic Analysis,N.A.,Main Study,Generic,10
Serum Estradiol and 20 Site-Specific Cancers in Women: Mendelian Randomization Study,Larsson et al.,biliary tract tumor,2022,Scopus,Genomic Analysis,"nsICC,nsBDC",Main Study,Generic,35
Next-generation sequencing of bile cell-free DNA for the early detection of patients with malignant biliary strictures,Arechederra et al.,cholangiocarcinoma,2022,PubMed,Genomic Analysis,pBDC,Main Study,Half,91
GWAS of serum ALT and AST reveals an association of SLC30A10 Thr95Ile with hypermanganesemia symptoms,Ward et al.,bile duct cancer,2021,PubMed,Genomic Analysis,"pICC,pBDC",Main Study,Generic,57
Hepatobiliary phenotype of individuals with chronic intestinal disorders,Voss et al.,biliary tract carcinoma,2021,PubMed,Pathology Incidence Analysis,pICC,Main Study,Generic,16
Cystic fibrosis F508del carriers and cancer risk: Results from the UK Biobank,Shi et al.,biliary tract cancer,2021,PubMed,Genomic Analysis,pBDC,Main Study,Generic,31
Associations between Prediagnostic Circulating Bilirubin Levels and Risk of Gastrointestinal Cancers in the UK Biobank,Sheyed Khoei et al.,bile duct cancer,2021,PubMed,Genomic Analysis,pBDC,Main Study,Half,19
Causal effects of gallstone disease on risk of gastrointestinal cancer in Chinese,Pang et al.,biliary tract cancer,2021,PubMed,Pathology Incidence Analysis,"pICC,pBDC",Support Study,Half,42
Association of physical activity with risk of hepatobiliary diseases in China: a prospective cohort study of 0.5 million people,Pang et al.,biliary tract cancer,2021,PubMed,Modifiable Risk Factor Analysis,"nICC,nBDC",Support Study,Generic,35
Relationship Between Fish Oil Use and Incidence of Primary Liver Cancer: Findings From a Population-Based Prospective Cohort Study,Jiang et al.,cholangiocarcinoma,2021,PubMed,Modifiable Risk Factor Analysis,nICC,Main Study,Specific,15
The Landscape of the Heritable Cancer Genome,Fanfani et al.,bile duct cancer,2021,Scopus,Genomic Analysis,"pICC,pBDC",Main Study,Generic,27
"Gallstones, Body Mass Index, C‐Reactive Protein, and Gallbladder Cancer: Mendelian Randomization Analysis of Chilean and European Genotype Data",Barahona Ponce et al.,biliary tract cancer,2021,PubMed,N.A.,N.A.,N.A.,Unrelated,85
Is Type 2 Diabetes Causally Associated With Cancer Risk? Evidence From a Two-Sample Mendelian Randomization Study,Yuan et al.,biliary tract cancer,2020,Scopus,Pathology Incidence Analysis,"nsICC,nsBDC",Main Study,Generic,168
Pilot Multi-Omic Analysis of Human Bile from Benign and Malignant Biliary Strictures: A Machine-Learning Approach,Urman et al.,cholangiocarcinoma,2020,PubMed,N.A.,N.A.,N.A.,Specific,65
Statin use and risk of liver cancer: Evidence from two population‐based studies,Tran et al.,bile duct cancer,2020,PubMed,Genomic Analysis,nsBDC,Main Study,Specific,76
"Exogenous hormone use, reproductive factors and risk of intrahepatic cholangiocarcinoma among women: results from cohort studies in the Liver Cancer Pooling Project and the UK Biobank",Petrick et al.,cholangiocarcinoma,2020,PubMed,Genomic Analysis,pICC,Main Study,Specific,40
Rehabilitation strategies following oesophagogastric and Hepatopancreaticobiliary cancer (ReStOre II): a protocol for a randomized controlled trial,O'Neill et al.,bile duct cancer,2020,PubMed,N.A.,N.A.,N.A.,Unrelated,26
Sensitive and specific multi-cancer detection and localization using methylation signatures in cell-free DNA,Liu et al.,bile duct cancer,2020,PubMed,N.A.,N.A.,N.A.,Unrelated,1521
Associations between serum uric acid and hepatobiliary-pancreatic cancer: A cohort study,Huang et al.,biliary tract cancer,2020,PubMed,Genomic Analysis,pICC,Main Study,Half,44
Assessing the Relationship Between Leukocyte Telomere Length and Cancer Risk/Mortality in UK Biobank and TCGA Datasets With the Genetic Risk Score and Mendelian Randomization Approaches,Gao et al.,bile duct cancer,2020,Scopus,Genomic Analysis,N.A.,Main Study,Generic,38
Association of obesity status and metabolic syndrome with site-specific cancers: a population-based cohort study,Cao et al.,biliary tract cancer,2020,Scopus,Modifiable Risk Factor Analysis,pICC,Main Study,Generic,93
Coffee consumption by type and risk of digestive cancer: a large prospective cohort study,Tran et al.,bile duct cancer,2019,Scopus,Modifiable Risk Factor Analysis,N.A.,Main Study,Half,55
The association between self‐reported poor oral health and gastrointestinal cancer risk in the UK Biobank: A large prospective cohort study,Jordao et al.,cholangiocarcinoma,2019,PubMed,Modifiable Risk Factor Analysis,nsICC,Main Study,Specific,49
Genetic association analysis identifies variants associated with disease progression in primary sclerosing cholangitis,Alberts et al.,bile duct cancer,2018,PubMed,N.A.,N.A.,Unrelated,Unrelated,61
Genome-wide association study of primary sclerosing cholangitis identifies new risk loci and quantifies the genetic relationship with inflammatory bowel disease,The UK-PSC Consortium,bile duct cancer,2017,PubMed,N.A.,N.A.,Unrelated,Unrelated,433
